ID3v1,ID3v2_ver,Title,Artist,Album_Artist,Album,Year,Genre,Track,Composer,Disc,Lyrics,Comment,Pictures
Yes,3,Famous,21 Savage,21 Savage,Issa Album,2017,Trap/ Southern Hip-Hop/ Pop Rap / Gangsta Rap,01/14,Shayaa Joseph/ Leland Wayne & Xavier Dotson,1/1,,,1
Yes,3,Bank Account,21 Savage,21 Savage,Issa Album,2017,Trap/ Southern Hip-Hop/ Pop Rap / Gangsta Rap,02/14,Shayaa Joseph/ Leland Wayne & Coleridge-Taylor Perkinson,1/1,,,1
Yes,3,Close My Eyes,21 Savage,21 Savage,Issa Album,2017,Trap/ Southern Hip-Hop/ Pop Rap / Gangsta Rap,03/14,Shayaa Joseph & Leland Wayne,1/1,,,1
Yes,3,Bad Business,21 Savage,21 Savage,Issa Album,2017,Trap/ Southern Hip-Hop/ Pop Rap / Gangsta Rap,04/14,Shayaa Joseph & Joshua Luellen,1/1,,,1
Yes,3,Baby Girl,21 Savage,21 Savage,Issa Album,2017,Trap/ Southern Hip-Hop/ Pop Rap / Gangsta Rap,05/14,Shayaa Joseph & Pi'erre Bourne,1/1,,,1
Yes,3,Thug Life,21 Savage,21 Savage,Issa Album,2017,Trap/ Southern Hip-Hop/ Pop Rap / Gangsta Rap,06/14,Shayaa Joseph/ Leland Wayne & Curtis Mayfield,1/1,,,1
Yes,3,FaceTime,21 Savage,21 Savage,Issa Album,2017,Trap/ Southern Hip-Hop/ Pop Rap / Gangsta Rap,07/14,Shayaa Joseph/ Dijon McFarlane/ Te Whiti Warbrick/ Nicholas Audino & Lewis Hughes,1/1,,,1
Yes,3,Nothin New,21 Savage,21 Savage,Issa Album,2017,Trap/ Southern Hip-Hop/ Pop Rap / Gangsta Rap,08/14,Shayaa Joseph/ Leland Wayne & Xavier Dotson,1/1,,,1
Yes,3,Numb,21 Savage,21 Savage,Issa Album,2017,Trap/ Southern Hip-Hop/ Pop Rap / Gangsta Rap,09/14,Shayaa Joseph & Leland Wayne,1/1,,,1
Yes,3,Dead People,21 Savage,21 Savage,Issa Album,2017,Trap/ Southern Hip-Hop/ Pop Rap / Gangsta Rap,10/14,Shayaa Joseph & Joshua Luellen,1/1,,,1
Yes,3,Money Convo,21 Savage,21 Savage,Issa Album,2017,Trap/ Southern Hip-Hop/ Pop Rap / Gangsta Rap,11/14,Shayaa Joseph & Leland Wayne,1/1,,,1
Yes,3,Special,21 Savage,21 Savage,Issa Album,2017,Trap/ Southern Hip-Hop/ Pop Rap / Gangsta Rap,12/14,Shayaa Joseph & Wesley Glass,1/1,,,1
Yes,3,Whole Lot,21 Savage,21 Savage,Issa Album,2017,Trap/ Southern Hip-Hop/ Pop Rap / Gangsta Rap,13/14,Shayaa Joseph/ Jeffery Williams & Leland Wayne,1/1,,,1
Yes,3,7 Min Freestyle,21 Savage,21 Savage,Issa Album,2017,Trap/ Southern Hip-Hop/ Pop Rap / Gangsta Rap,14/14,Shayaa Joseph & Leland Wayne,1/1,,,1
Yes,3,Ambitionz az a Ridah,2Pac,2Pac,All Eyez on Me,1996,West Coast Hip-Hop/ Gangsta Rap/ G-Funk / Pop Rap,01/15,Delmar Arnaud & 2Pac,1/2,,,1
Yes,3,Can’t C Me (feat. George Clinton),2Pac,2Pac,All Eyez on Me,1996,West Coast Hip-Hop/ Gangsta Rap/ G-Funk / Pop Rap,01/14,2Pac & Dr. Dre,2/2,,,1
Yes,3,All Bout U (feat. Snoop Dogg/ Nate Dogg / Dru Down),2Pac,2Pac,All Eyez on Me,1996,West Coast Hip-Hop/ Gangsta Rap/ G-Funk / Pop Rap,02/15,2Pac/ Calvin Broadus/ Nathaniel Hale/ Bruce Washington/ Yafeu Fula/ Johnny Jackson/ Larry Blackmon & T. Jenkins,1/2,,,1
Yes,3,Shorty Wanna Be a Thug,2Pac,2Pac,All Eyez on Me,1996,West Coast Hip-Hop/ Gangsta Rap/ G-Funk / Pop Rap,02/14,2Pac & J. Jackson,2/2,,,1
Yes,3,Holla at Me,2Pac,2Pac,All Eyez on Me,1996,West Coast Hip-Hop/ Gangsta Rap/ G-Funk / Pop Rap,03/14,2Pac & B. Ervin,2/2,,,1
Yes,3,Skandalouz (feat. Nate Dogg),2Pac,2Pac,All Eyez on Me,1996,West Coast Hip-Hop/ Gangsta Rap/ G-Funk / Pop Rap,03/15,2Pac & D. Arnaud,1/2,,,1
Yes,3,Got My Mind Made Up (feat. Daz Dillinger/ Kurupt/ Redman / Method Man),2Pac,2Pac,All Eyez on Me,1996,West Coast Hip-Hop/ Gangsta Rap/ G-Funk / Pop Rap,04/15,2Pac/ D. Arnaud & R. Brown,1/2,,,1
Yes,3,Wonda Why They Call U Bytch,2Pac,2Pac,All Eyez on Me,1996,West Coast Hip-Hop/ Gangsta Rap/ G-Funk / Pop Rap,04/14,2Pac & J. Jackson,2/2,,,1
Yes,3,How Do U Want It (feat. K‐Ci / JoJo),2Pac,2Pac,All Eyez on Me,1996,West Coast Hip-Hop/ Gangsta Rap/ G-Funk / Pop Rap,05/15,2Pac & J. Jackson,1/2,,,1
Yes,3,When We Ride (feat. Outlawz),2Pac,2Pac,All Eyez on Me,1996,West Coast Hip-Hop/ Gangsta Rap/ G-Funk / Pop Rap,05/14,2Pac/ Mark Jordan/ T. Himes/ Y. Fula & B. Washington,2/2,,,1
Yes,3,2 of Amerikaz Most Wanted (feat. Snoop Dogg),2Pac,2Pac,All Eyez on Me,1996,West Coast Hip-Hop/ Gangsta Rap/ G-Funk / Pop Rap,06/15,2Pac/ Calvin Broadus & D. Arnaud,1/2,,,1
Yes,3,Thug Passion (feat. Jewell/ Outlawz / Storm),2Pac,2Pac,All Eyez on Me,1996,West Coast Hip-Hop/ Gangsta Rap/ G-Funk / Pop Rap,06/14,2Pac/ J. Jackson/ Katari Cox/ M. Greenidge/ M. Beale/ D. Hunter/ Jewell Peyton/ Larry Troutman/ Roger Troutman & Shirley Murdock,2/2,,,1
Yes,3,No More Pain,2Pac,2Pac,All Eyez on Me,1996,West Coast Hip-Hop/ Gangsta Rap/ G-Funk / Pop Rap,07/15,2Pac/ DeVanté Swing/ C. Smith & R. Diggs Jr.,1/2,,,1
Yes,3,Picture Me Rollin’ (feat. Danny Boy/ Big Syke / CPO‐Boss Hog),2Pac,2Pac,All Eyez on Me,1996,West Coast Hip-Hop/ Gangsta Rap/ G-Funk / Pop Rap,07/14,2Pac/ J. Jackson/ T. Himes & V. Edwards,2/2,,,1
Yes,3,Check Out Time (feat. Kurupt / Big Syke),2Pac,2Pac,All Eyez on Me,1996,West Coast Hip-Hop/ Gangsta Rap/ G-Funk / Pop Rap,08/14,2Pac/ J. Jackson/ T. Himes & R. Brown,2/2,,,1
Yes,3,Heartz of Men,2Pac,2Pac,All Eyez on Me,1996,West Coast Hip-Hop/ Gangsta Rap/ G-Funk / Pop Rap,08/15,2Pac/ David Blake/ Prince/ G. Clinton/ Jr./ W. Collins/ Clarence Haskins & Bernie Worrell,1/2,,,1
Yes,3,Life Goes On,2Pac,2Pac,All Eyez on Me,1996,West Coast Hip-Hop/ Gangsta Rap/ G-Funk / Pop Rap,09/15,2Pac/ J. Jackson/ J. Jefferson & C. Simmons,1/2,,,1
Yes,3,Ratha Be Ya Nigga (feat. Richie Rich),2Pac,2Pac,All Eyez on Me,1996,West Coast Hip-Hop/ Gangsta Rap/ G-Funk / Pop Rap,09/14,2Pac & D. Rasheed,2/2,,,1
Yes,3,All Eyez on Me (feat. Big Syke),2Pac,2Pac,All Eyez on Me,1996,West Coast Hip-Hop/ Gangsta Rap/ G-Funk / Pop Rap,10/14,2Pac/ J. Jackson/ J Pennington & T. Himes,2/2,,,1
Yes,3,Only God Can Judge Me (feat. Rappin’ 4‐Tay),2Pac,2Pac,All Eyez on Me,1996,West Coast Hip-Hop/ Gangsta Rap/ G-Funk / Pop Rap,10/15,2Pac & Douglas Rasheed,1/2,,,1
Yes,3,Run tha Streetz (feat. Michel’le/ Napoleon / Storm),2Pac,2Pac,All Eyez on Me,1996,West Coast Hip-Hop/ Gangsta Rap/ G-Funk / Pop Rap,11/14,2Pac/ J. Jackson & M. Beale,2/2,,,1
Yes,3,Tradin’ War Stories (feat. Outlawz/ C‐Bo / Storm),2Pac,2Pac,All Eyez on Me,1996,West Coast Hip-Hop/ Gangsta Rap/ G-Funk / Pop Rap,11/15,2Pac/ M. Mosley/ R. Thomas/ M. Greenidge/ K. Cox & M. Beale,1/2,,,1
Yes,3,Ain’t Hard 2 Find (feat. E‐40/ B‐Legit/ C‐Bo / Richie Rich),2Pac,2Pac,All Eyez on Me,1996,West Coast Hip-Hop/ Gangsta Rap/ G-Funk / Pop Rap,12/14,2Pac/ Earl Stevens/ D. Stevens/ B. Jones/ T. Thomas/ S. Thomas & M. Mosley,2/2,,,1
Yes,3,California Love (feat. Dr. Dre / Roger Troutman) [remix],2Pac,2Pac,All Eyez on Me,1996,West Coast Hip-Hop/ Gangsta Rap/ G-Funk / Pop Rap,12/15,Roger Troutman/ Mikel Hooks/ Ronald Goss Hudson/ Larry Troutman/ Woodrow Cunnigham Jr. & Norman A. Durham,1/2,,,1
Yes,3,Heaven Ain’t Hard 2 Find,2Pac,2Pac,All Eyez on Me,1996,West Coast Hip-Hop/ Gangsta Rap/ G-Funk / Pop Rap,13/14,2Pac & QD3,2/2,,,1
Yes,3,I Ain’t Mad at Cha (feat. Danny Boy),2Pac,2Pac,All Eyez on Me,1996,West Coast Hip-Hop/ Gangsta Rap/ G-Funk / Pop Rap,13/15,2Pac/ D. Arnaud/ D. Stewart & E. Jordan,1/2,,,1
Yes,3,What’z Ya Phone # (feat. Danny Boy),2Pac,2Pac,All Eyez on Me,1996,West Coast Hip-Hop/ Gangsta Rap/ G-Funk / Pop Rap,14/15,2Pac & J. Jackson,1/2,,,1
Yes,3,Intro,50 Cent,50 Cent,Get Rich Or Die Tryin',2003,Gangsta Rap/ East Coast Hip-Hop / Pop Rap,01/19,,1/1,,,1
Yes,3,What Up Gangsta,50 Cent,50 Cent,Get Rich Or Die Tryin',2003,Gangsta Rap/ East Coast Hip-Hop / Pop Rap,02/19,Curtis Jackson & Robert Tewlow,1/1,,,1
Yes,3,Patiently Waiting (feat. Eminem),50 Cent,50 Cent,Get Rich Or Die Tryin',2003,Gangsta Rap/ East Coast Hip-Hop / Pop Rap,03/19,Curtis Jackson/ Marshall Mathers/ Luis Resto & Mike Elizondo,1/1,,,1
Yes,3,Many Men (Wish Death),50 Cent,50 Cent,Get Rich Or Die Tryin',2003,Gangsta Rap/ East Coast Hip-Hop / Pop Rap,04/19,Curtis Jackson/ Darrell Branch/ Luis Resto/ Keni St.Lewis & Freddie Perren,1/1,,,1
